"key" "Exped." "Date.x" "Year" "Month" "TERRITORY1" "conflicts" "RuleofLaw_mean" "NoViolence_mean" "GovernmentEffectiveness_mean" "Voice_mean" "Corruption_mean" "HDI_mean" "Country" "NGO" "MarineEcosystemDependency" "SAU" "TravelTime_market" "LinearDistcities" "TravelTime_pop" "LinearDistpop" "FE_PurseSeine" "FE_DriftingLongline" "FE_FixedGear" "FE_OtherFishing" "FE_Trawlers" "distPort" "distSeamounts" "distCoralReef" "Bathymetry" "Slope" "distCoast" "PP" "CHL" "SST_mean" "SST_sd" "sst_week" "protection" "mean_lat" "mean_long" "mean_maxsize" "std_maxsize" "cv_maxsize" "median_maxsize" "string_number" "mean_meansize" "std_meansize" "cv_meansize" "median_meansize" "mean_mediansize" "std_mediansize" "cv_mediansize" "median_mediansize" "excess_mass" "modes_p_value" "unimode" "first_mode" "second_mode" "betaslope" "betaslope_ci_inf" "betaslope_ci_sup" "bruvs_type" "distMarket"
"1" "Argo 2017__2017-11-16" "Argo 2017" "2017-11-16" 2017 "Nov" "Australia" 1 1.78 0.98 1.59 1.4 1.85 0.933 "Australia" 699 0.095532 24.40632581 2191.49842325 730499.474375 929.492207425 289162.61865 NA NA NA NA NA 477.97506715 31992.256065 250680.27215 -5344.2948 89.974098205 289534.35325 350.712997425 0.111962922 29.08313799 1.57818833 29.228404045105 "All" -14.7511554182353 118.796817509804 0.0907834541156625 0.122829072098474 1.35298963115001 0.046072735145609 4 0.0142349736460506 0.0159896843006299 1.1232675731062 0.00855236686130329 0.00966050611692095 0.0141486052776987 1.4645821975017 0.00328871981255704 0.233148068579209 0 0.00384893394751629 0.00226357753235322 0.266025777799527 -2.14106438164562 -2.49302438164562 -1.84028438164562 "pelagic" NA
"2" "Argo 2017__2017-11-17" "Argo 2017" "2017-11-17" 2017 "Nov" "Australia" 1 1.78 0.98 1.59 1.4 1.85 0.933 "Australia" 699 0.095532 26.35992428 2416.28474225 805428.2474 769.94626585 238584.4181 NA NA NA NA NA 459.320282 66175.8926275 219999.0187 -4701.6729735 89.993120195 332356.1842 341.5057602 0.1085017175 28.99826765 1.64810508475 29.1364574432373 "None" -15.2671541364706 118.741201970588 25.903474164606 36.6272296298176 1.41398908104243 25.903474164606 2 0.322477966119758 0.4506217913484 1.39737234382412 0.322477966119758 0.0542032942811263 0.0708401875483508 1.30693509477371 0.0542032942811263 0.320501350265011 0 0.0837572470218433 0.0843523056069557 51.8021459257831 -1.2397226539048 -1.3143026539048 -1.1692126539048 "pelagic" NA
"3" "Argo 2017__2017-11-18" "Argo 2017" "2017-11-18" 2017 "Nov" "Australia" 1 1.78 0.98 1.59 1.4 1.85 0.933 "Australia" 699 0.095532 17.7417203675 2510.50210775 836834.035825 874.6113088 270780.5516 NA NA NA NA NA 520.013900775 106357.165385 259610.753025 -5724.085449 89.901174545 385390.86555 342.225502025 0.1080468 28.88727808 1.59061607725 28.7032074928284 "All" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "pelagic" NA
"4" "Argo 2018__2018-08-04" "Argo 2018" "2018-08-04" 2018 "Aug" "Australia" 1 1.78 0.98 1.59 1.4 1.85 0.933 "Australia" 699 0.095532 24.40632581 2185.556291 728518.76375 925.8427125 288381.672683333 NA NA NA NA NA 477.3902893 34102.91173 248802.212683333 -5391.85017916667 89.96691386 288779.972516667 351.277338666667 0.112151043 29.0909198133333 1.58925370383333 26.9296522140503 "All" -14.6945700065574 118.795060147541 6.6729806157816 15.3419239044165 2.29911111507396 0.48796688506073 6 0.206055381908473 0.379282775859335 1.84068366643201 0.0149324768495134 0.00226631465205115 0.000817709153172753 0.360810072172758 0.0020608667692944 0.110435329191932 0 0.0131959259189429 0.0137373493310244 37.9785554474576 -1.91550326041474 -2.05494326041474 -1.78864326041474 "pelagic" NA
"5" "Argo 2018__2018-08-05" "Argo 2018" "2018-08-05" 2018 "Aug" "Australia" 1 1.78 0.98 1.59 1.4 1.85 0.933 "Australia" 699 0.095532 25.461190465 2282.04207625 760680.69205 869.18154725 269972.44045 NA NA NA NA NA 467.8357544 33125.439755 243569.584 -4874.83337425 89.99797821 301771.64445 346.422103875 0.110247679 29.050234315 1.591749072 26.7682499885559 "All" -14.942877432 118.829658241667 0.179772978850411 0.32624541736671 1.8147633724097 0.0212612343051354 4 0.0177297641558984 0.0278583492344517 1.57127579303889 0.00474755151015308 0.00220744325976673 0.000896004542203075 0.405901505390339 0.00192149501896402 0.133993961269136 0 0.00381387808726108 0.00376251759466006 0.668918696541982 -1.98210480315919 -2.25951480315919 -1.74219480315919 "pelagic" NA
"6" "Argo 2018__2018-08-06" "Argo 2018" "2018-08-06" 2018 "Aug" "Australia" 1 1.78 0.98 1.59 1.4 1.85 0.933 "Australia" 699 0.095532 26.3078806666667 2436.52822416667 812176.0747 754.570634533333 233337.65705 NA NA NA NA NA 458.67085265 72851.1369233333 215458.441083333 -4648.26416 89.9927190133333 337745.255666667 341.209111533333 0.108361825333333 28.9903729766667 1.65688715366667 26.4477777481079 "None" -15.4659530659589 118.610800082192 0.762587212533365 1.39638860691933 1.83111988238097 0.0588037605967182 6 0.255204501864315 0.5467426565914 2.14237073639903 0.0111269693978157 0.255537023869894 0.616371670855344 2.4120640583541 0.00474661329860927 0.301369489851741 0 0.0694523749671156 0.0248116360419197 1.47182818747743 -1.05603982702262 -1.12560982702262 -0.987059827022621 "pelagic" NA
"7" "Argo 2018__2018-08-07" "Argo 2018" "2018-08-07" 2018 "Aug" "Australia" 1 1.78 0.98 1.59 1.4 1.85 0.933 "Australia" 699 0.095532 17.7056640333333 2494.25181866667 831417.2729 894.300648633333 276828.918533333 NA NA NA NA NA 523.471761083333 102734.545956667 265114.4361 -5725.00366216667 89.8520469683333 382591.966716667 342.408315016667 0.108287025166667 28.8981682466667 1.58916687983333 26.5022217432658 "All" -15.2724126556731 118.032487125 0.0317936921055335 0.0472621616390831 1.48652636762679 0.0167652556597077 6 0.00601290636380869 0.00413076236609776 0.686982653007964 0.00527251078684069 0.00390566364632824 0.00284372661457133 0.728103306398325 0.00363425702302678 0.0967718176638081 0 0.00477236863301364 0.00434705908253866 0.127314753097293 -1.74974926845145 -1.93866926845145 -1.57443926845145 "pelagic" NA
"8" "Argo 2018__2018-08-08" "Argo 2018" "2018-08-08" 2018 "Aug" "Australia" 1 1.78 0.98 1.59 1.4 1.85 0.933 "Australia" 699 0.095532 18.950439105 2598.21391 866071.3033 752.2547071 235269.3817 NA NA NA NA NA 492.4398041 127869.5549 227229.99875 -5723.23413075 89.929065705 399781.732675 339.831672675 0.10713119975 28.832108975 1.6257337925 26.2609367370605 "All" -15.7755564806803 118.06173495 1.4679821491562 2.79267634965948 1.90239121862941 0.100713629593063 4 0.0717673156744112 0.136183471586307 1.8975695315697 0.00387067535060368 0.00183165433933843 0.000519592159529797 0.283673697799044 0.00168067992654716 0.131664647209453 0 0.00658752045740219 0.00393146521085908 5.65521028121501 -2.31925214372907 -2.47593214372907 -2.17399214372907 "pelagic" NA
"9" "Argo 2018__2018-08-09" "Argo 2018" "2018-08-09" 2018 "Aug" "Australia" 1 1.78 0.98 1.59 1.4 1.85 0.933 "Australia" 699 0.095532 24.8483380633333 2597.7446 865914.866716667 553.292459916667 170594.38355 NA NA NA NA NA 422.992350233333 135124.9824 157548.541283333 -3783.994751 89.9896354683333 348691.56305 341.525263483333 0.108696052333333 28.9100948966667 1.69791024916667 26.2553526560466 "None" -15.9616878985356 118.553046312762 4.37128565130217 6.58996458417636 1.507557526517 0.250124495265993 6 1.25511701321226 2.91929329435614 2.32591325241039 0.00884099213873266 1.57826402827644 3.8556795497392 2.44298766281192 0.0045787704179128 0.179789450013296 0 0.00445086473238021 0.00466658102652762 12.7869389261859 -2.2523123658537 -2.3679923658537 -2.1433123658537 "pelagic" NA
"10" "Argo 2018__2018-08-10" "Argo 2018" "2018-08-10" 2018 "Aug" "Australia" 1 1.78 0.98 1.59 1.4 1.85 0.933 "Australia" 699 0.095532 25.68222213 2650.29718375 883432.394475 456.9518395 140843.24395 NA NA NA NA NA 400.4098816 159627.792525 129130.721475 -2537.69812025 89.991319655 331113.48905 342.179458625 0.1092351955 28.895676135 1.73742252575 26.2235703468323 "None" -16.204200329639 118.724339776173 0.181780314544311 0.252295859349652 1.38791628775707 0.0918154366915666 4 0.00566369260000404 0.00448424685805654 0.791753220867484 0.00480977182039585 0.004322010539142 0.00475188360811978 1.09946136528004 0.00222752365383299 0.200933973922191 0 0.00226641061681399 0.00204230870376299 0.541603284559847 -2.65378822800287 -2.85651822800287 -2.46617822800287 "pelagic" NA
